epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8049,1.29339,3.42965,1.55188,0.36248,0.36306,0.36791,0.22934,1.39928,2.35362,1.624,0.000301937,0.000301937,0.000301937
2,126.184,1.37774,2.02285,1.57251,0.78733,0.14351,0.29398,0.15977,1.66638,2.34176,1.84039,0.000598948,0.000598948,0.000598948
3,185.19,1.42269,2.06848,1.61901,0.51827,0.22928,0.26628,0.15243,1.42016,1.94095,1.73684,0.00088996,0.00088996,0.00088996
4,242.566,1.39575,1.91779,1.58237,0.65515,0.40661,0.49384,0.34352,1.29293,1.59614,1.5647,0.000882003,0.000882003,0.000882003
5,299.77,1.32522,1.79162,1.51988,0.85801,0.42145,0.56309,0.41362,1.20109,1.44678,1.46691,0.000873004,0.000873004,0.000873004
6,360.059,1.29877,1.65438,1.50221,0.60607,0.62417,0.58916,0.43361,1.15489,1.30869,1.43157,0.000864004,0.000864004,0.000864004
7,417.478,1.21312,1.5118,1.44305,0.59063,0.57673,0.56451,0.40964,1.15561,1.2108,1.43718,0.000855005,0.000855005,0.000855005
8,474.599,1.20011,1.45457,1.41452,0.55898,0.46318,0.60679,0.43134,1.15065,1.2621,1.38382,0.000846006,0.000846006,0.000846006
9,531.232,1.19124,1.36719,1.39793,0.47917,0.81638,0.66055,0.45871,1.08349,1.08564,1.32714,0.000837007,0.000837007,0.000837007
10,588.322,1.16737,1.32464,1.38087,0.50357,0.82511,0.77861,0.55477,1.05717,0.98825,1.29666,0.000828008,0.000828008,0.000828008
11,645.33,1.11797,1.27197,1.35073,0.64896,0.7596,0.73026,0.56336,0.98559,0.9787,1.27377,0.000819009,0.000819009,0.000819009
12,702.771,1.10153,1.20608,1.34445,0.58493,0.66799,0.68329,0.52825,1.00325,1.00922,1.26087,0.00081001,0.00081001,0.00081001
13,760.665,1.09409,1.15968,1.32537,0.72295,0.90227,0.88454,0.67656,0.96927,0.8528,1.23663,0.000801011,0.000801011,0.000801011
14,818.011,1.07415,1.15156,1.32231,0.73317,0.76324,0.88437,0.67833,0.98381,0.81395,1.23687,0.000792012,0.000792012,0.000792012
15,874.898,1.05314,1.10564,1.30368,0.62059,0.85782,0.82808,0.66763,0.9737,0.89524,1.26943,0.000783013,0.000783013,0.000783013
16,932.018,1.02449,1.06539,1.28633,0.83197,0.70594,0.7762,0.61884,0.95954,0.7778,1.22988,0.000774013,0.000774013,0.000774013
17,988.707,1.02741,1.03521,1.27412,0.77569,0.74162,0.85657,0.67798,0.96275,0.74064,1.20248,0.000765014,0.000765014,0.000765014
18,1045.63,1.02615,1.03911,1.28467,0.63043,0.85719,0.89195,0.7313,0.90515,0.7624,1.16628,0.000756015,0.000756015,0.000756015
19,1102.23,1.01172,1.02514,1.26786,0.62919,0.8332,0.86083,0.68136,0.938,0.69376,1.20993,0.000747016,0.000747016,0.000747016
20,1159.15,0.99478,0.99237,1.26351,0.79177,0.8369,0.87544,0.70353,0.90437,0.67266,1.21493,0.000738017,0.000738017,0.000738017
21,1216.45,0.98574,0.96197,1.25302,0.78095,0.82074,0.88909,0.69533,0.91968,0.66871,1.19185,0.000729018,0.000729018,0.000729018
22,1273.84,0.96698,0.92508,1.23322,0.90905,0.81862,0.89968,0.72713,0.91884,0.6571,1.19422,0.000720019,0.000720019,0.000720019
23,1331.37,0.95952,0.92519,1.23527,0.78355,0.81714,0.88086,0.7034,0.90485,0.65993,1.20119,0.00071102,0.00071102,0.00071102
24,1388.5,0.94106,0.90357,1.2203,0.8401,0.81316,0.88291,0.69934,0.91306,0.6884,1.18822,0.000702021,0.000702021,0.000702021
25,1445.82,0.93486,0.85856,1.21444,0.82733,0.78422,0.87396,0.72352,0.88724,0.68415,1.15513,0.000693022,0.000693022,0.000693022
26,1502.58,0.93816,0.84257,1.20805,0.78571,0.80042,0.88141,0.73155,0.88142,0.59425,1.13934,0.000684022,0.000684022,0.000684022
27,1559.67,0.92076,0.83108,1.20004,0.8207,0.80587,0.89107,0.74978,0.87115,0.58812,1.14544,0.000675023,0.000675023,0.000675023
28,1616.74,0.93422,0.84047,1.2093,0.8313,0.84106,0.90429,0.7634,0.83222,0.57473,1.11647,0.000666024,0.000666024,0.000666024
29,1673.88,0.90431,0.82299,1.18615,0.83242,0.84141,0.90562,0.75257,0.8704,0.54646,1.12671,0.000657025,0.000657025,0.000657025
30,1730.39,0.89015,0.79614,1.18226,0.79795,0.84496,0.84864,0.70226,0.86357,0.58293,1.12896,0.000648026,0.000648026,0.000648026
31,1786.1,0.89747,0.8004,1.18723,0.82115,0.81496,0.84071,0.67899,0.8533,0.60772,1.1455,0.000639027,0.000639027,0.000639027
32,1841.47,0.8846,0.78093,1.18281,0.83228,0.8493,0.8552,0.70182,0.87213,0.53884,1.13959,0.000630028,0.000630028,0.000630028
33,1896.86,0.88397,0.78406,1.17642,0.78508,0.8673,0.8878,0.74151,0.85212,0.55813,1.11781,0.000621029,0.000621029,0.000621029
34,1952.24,0.86311,0.75528,1.15952,0.90936,0.70711,0.81773,0.67605,0.84468,0.54344,1.1176,0.00061203,0.00061203,0.00061203
35,2007.53,0.86482,0.75783,1.16245,0.80466,0.88419,0.90226,0.74179,0.85306,0.51793,1.11906,0.000603031,0.000603031,0.000603031
36,2062.86,0.87347,0.75898,1.16621,0.79924,0.86237,0.90745,0.76574,0.86278,0.5323,1.13302,0.000594031,0.000594031,0.000594031
37,2119.82,0.85416,0.74566,1.16024,0.83432,0.83535,0.93043,0.78583,0.85067,0.54097,1.13519,0.000585032,0.000585032,0.000585032
38,2176.4,0.85771,0.73215,1.15492,0.87905,0.88172,0.89616,0.76134,0.83852,0.54252,1.1147,0.000576033,0.000576033,0.000576033
39,2233.59,0.83905,0.70725,1.14546,0.84576,0.86859,0.87174,0.73422,0.85329,0.53003,1.12061,0.000567034,0.000567034,0.000567034
40,2290.99,0.82723,0.71224,1.12904,0.8489,0.85583,0.86399,0.73693,0.82632,0.5152,1.12082,0.000558035,0.000558035,0.000558035
41,2348.01,0.82862,0.6987,1.14659,0.84906,0.86702,0.91893,0.79446,0.84298,0.51673,1.1094,0.000549036,0.000549036,0.000549036
42,2407.22,0.82385,0.68522,1.14033,0.85443,0.86879,0.89893,0.77959,0.84391,0.51941,1.1117,0.000540037,0.000540037,0.000540037
43,2464.45,0.8238,0.68279,1.13437,0.86431,0.82942,0.91465,0.7838,0.82282,0.48756,1.09741,0.000531038,0.000531038,0.000531038
44,2521.7,0.8167,0.66384,1.13658,0.79851,0.85184,0.85078,0.72303,0.8384,0.49619,1.10832,0.000522039,0.000522039,0.000522039
45,2578.86,0.80373,0.67003,1.12635,0.66092,0.88981,0.84564,0.72721,0.80963,0.53027,1.09163,0.00051304,0.00051304,0.00051304
46,2636.77,0.7926,0.65902,1.12554,0.84707,0.87368,0.8847,0.76437,0.81654,0.50311,1.09966,0.00050404,0.00050404,0.00050404
47,2695.18,0.77334,0.6416,1.10799,0.85327,0.89878,0.9031,0.76918,0.83877,0.50003,1.11782,0.000495041,0.000495041,0.000495041
48,2752.33,0.77774,0.63701,1.11346,0.85908,0.86885,0.91785,0.78331,0.80885,0.50927,1.08914,0.000486042,0.000486042,0.000486042
49,2809.42,0.77084,0.62132,1.10279,0.8897,0.88254,0.91604,0.78455,0.82758,0.48023,1.10518,0.000477043,0.000477043,0.000477043
50,2866.4,0.76017,0.60092,1.10258,0.92237,0.88361,0.91385,0.79088,0.82206,0.47375,1.09367,0.000468044,0.000468044,0.000468044
51,2923.13,0.77029,0.62752,1.09964,0.83354,0.89614,0.9251,0.77604,0.81253,0.47547,1.08582,0.000459045,0.000459045,0.000459045
52,2980.79,0.75787,0.60531,1.08896,0.90757,0.87967,0.93344,0.78665,0.80476,0.47722,1.08313,0.000450046,0.000450046,0.000450046
53,3037.82,0.7469,0.59336,1.09034,0.92503,0.88435,0.90941,0.77498,0.81549,0.4637,1.08752,0.000441047,0.000441047,0.000441047
54,3094.91,0.75715,0.58211,1.0885,0.91203,0.88845,0.90264,0.78537,0.81682,0.47578,1.0918,0.000432048,0.000432048,0.000432048
55,3152.12,0.7334,0.58003,1.08031,0.91811,0.89435,0.90364,0.79398,0.79491,0.46113,1.07724,0.000423049,0.000423049,0.000423049
